n-gram,count
biological male,133
biological sex,485
biological men,127
biological males,168
biological females,75
biological sex—is,3
biological women,121
biological feature,2
biological sexes,21
biological boys,35
biological characteristics,4
biological boy,21
biological foundation,2
biological makeup,4
biological differences,32
biological for,2
biological girls,18
biological state,3
biological fact,12
biological gender,23
biological man,41
biological topless,2
biological female,39
biological genitalia,2
biological girl,14
biological distinctions,9
biological woman,23
biological and,14
biological advantage,4
biological difference,8
biological reality,27
biological malehttps,2
biological advantages,8
biological criteria,2
biological science,3
biological traits,4
biological power,2
biological a,2
biological body,4
biological trait,4
biological ly,2
biological children,6
biological truth,3
biological basis,3
biological definition,4
biological diffs,2
biological father,3
biological genders,2
biological https,2
biological strength,2
biological realities,3
biological identity,3
biological sex—receive,2
biological distinction,6
biological one…,4
biological category,3
biological words,2
biological he,3
biological psychological,5
biological component,3
biological development,3
biological facts,4
biological scientific,2
biological benefits,3
biological status,4
biological functions,2
biological determination,2
biological puberty,3
biological counterparts,5
biological process,2
biological activists,2
biological womanhood,2
biological physiological,3
biological explanations,2
biological features,2
biological binary,4
biological construct,2
biological life,2
biological daughters,2
biological class,3
biological impossibility,2
biological organs,2
biological variations,2
biological teenage,3
biological one,2
biological reality—regardless,2
biological or,4
biological sexual,4
biological impact,2
biological attribute,2
biological transgender,2
biological influences,2
biological essentialism,2
biological processes,2
biological changes,3
biological birth,2
biological male-bodied,2
biological mother,2
biological mom,2
biological peer,2
biological teen,2
biological non,2
biological material,2
biological sex-based,2
biological sex—but,2
biological existence,2
biological nature,2
biological child,4
