n-gram,PMI
their biological,12
biological sex,36
fixed biological,2
was biological,1
s biological,7
of biological,8
biological sexuality,1
from biological,2
have biological,3
biological children,4
biological baby,2
a biological,11
biological family,4
immutable biological,7
biological traits,6
the biological,3
biological parents,1
god-given biological,1
biological reality,2
pro-science biological,1
biological fact,2
biological child,3
greer biological,2
biological women,5
her biological,2
on biological,5
by biological,3
naming biological,1
that biological,3
biological men,3
calls biological,1
biological males,7
biological female,1
and biological,3
biological definitions,2
own biological,2
no biological,1
biological advantage,1
normal biological,1
biological phenomenon,1
than biological,1
biological status,1
biological male,1
his biological,3
biological gender,4
ie biological,1
two biological,1
biological sexes,1
biological one,1
biological science,1
biological characteristics,3
whether biological,1
as biological,2
biological identity,1
biological rather,1
about biological,1
biological facts,1
even biological,1
biological but,1
t biological,1
biological either,1
less biological,1
biological than,1
are biological,3
biological characteristic,1
if biological,1
pushing biological,3
want biological,1
biological cisgender,1
biological boy,1
means biological,1
biological females,2
other biological,1
biological anatomy…,1
biological basis,1
physical biological,1
biological attributes,1
born biological,1
biological benefits,1
biological woman,1
same biological,1
biological essentialism,1
this biological,1
biological truth,1
women biological,1
to biological,1
