n-gram,PMI
trailblazing transgender,5.868555748922326
transgender troops,5.827123620490777
transgender troop,5.814244629044502
transgender trend,5.811038638745412
transgender servicepeople,5.765335028563555
transgender footballer,5.761640545005811
transgender weightlifter,5.7367658763667855
compares transgender,5.658763364365509
transgender soldiers,5.623756914537598
transgender persons,5.615136431965254
transgender prisoner,5.400338211784305
transgender teen,5.393464130686855
transgender superhero,5.35029752928471
exclude transgender,5.291981033693887
transgender soldier,5.238987946080005
"15,000 transgender",5.215528973256017
transgender teenager,5.159456948189064
transgender inmate,5.1559194841178595
transgender individuals,5.118677678052499
transgender prisoners,5.112009785786601
transgender woman,5.088521432864233
transgender priest,4.952494567422221
self-identifying transgender,4.914911384614065
transgender athletes,4.914224550494506
transgender inmates,4.9101630697158996
transgender 12-year-old,4.906690877809098
transgender patients,4.888154926371669
transgender teens,4.841538198283846
erase transgender,4.819228036558755
brave transgender,4.7946858522959666
transgender students,4.7566865704900465
transgender porn,4.748261515204614
transgender youtuber,4.743460528940794
blind transgender,4.726781787794163
transgender americans,4.701718929267585
targeting transgender,4.664197250416141
first-ever transgender,4.621288658946849
transgender employee,4.61952820108241
transgender model,4.6010034239289475
transgender athlete,4.568460970592632
transgender flag,4.551595918986536
banning transgender,4.500698518133259
allowing transgender,4.4932644284362375
transgender lobby,4.485227109370822
openly transgender,4.479409782775505
transgender people,4.477996934048669
transgender student,4.467654479922871
transgender day,4.454200213750195
allow transgender,4.4491076835641685
transgender lottery,4.447259259171798
allows transgender,4.41483778147942
transgender activist,4.4061988632055495
transgender employees,4.309755735421863
transgender actress,4.307228807392825
transgender veteran,4.291981033693887
word transgender,4.249159751137295
transgender character,4.240114611534288
transgender models,4.238987946080005
transgender service,4.234955655458936
attacking transgender,4.219113310605053
transgender beauty,4.169725283642894
transgender community,4.169067269929823
transgender moral,4.1253311642844395
transgender equality,4.123314818685934
bans transgender,4.116613947183328
transgender son,4.116613947183328
transgender man,4.095583820890386
transgender pupils,4.095377942182807
transgender person,4.088529200794909
transgender children,4.045847649720017
transgender youth,4.042235548520974
transgender players,3.999800282200578
first transgender,3.992162916344977
accepting transgender,3.952494567422221
transgender status,3.949174209130611
transgender workers,3.8967067892364753
transgender kids,3.8532516188476365
transgender citizens,3.829875280758266
transgender europe,3.822262096648391
transgender boy,3.804543990801644
transgender politician,3.7981664210309276
transgender daughter,3.792204862792211
transgender women,3.7531204892170855
2018 transgender,3.7205165247217096
transgender voters,3.7168663189290783
transgender issues,3.7016207900858227
transgender candidate,3.672225624172075
transgender candidates,3.6619306434441974
treat transgender,3.6151364319652544
supporting transgender,3.596835615222311
transgender rights,3.5840557527478722
international transgender,3.5662268314843075
transgender mp,3.556856786351851
black transgender,3.5565658910910827
transgender personnel,3.552341305229355
transgender campaigner,3.5143734550303343
2011 transgender,3.485227109370822
powerful transgender,3.401540958865965
protect transgender,3.3469951356983714
transgender characters,3.343754683417938
transgender child,3.3432845204543895
cover transgender,3.2760100767821037
transgender bathrooms,3.2697210736196105
protecting transgender,3.2628346880343706
transgender military,3.2436511314732
2019 transgender,3.2285146148504964
transgender actor,3.207793324476409
include transgender,3.185591689101912
against transgender,3.184479050332918
transgender reforms,3.1810405968707265
transgender population,3.1697252836428937
transgender victims,3.1418192870730053
transgender father,3.0784101168969435
transgender girl,3.0731983599643122
2017 transgender,3.0509391311923793
transgender couple,3.047328652283163
transgender identities,3.0441944015590323
2016 transgender,3.0417309626664952
transgender wife,2.975953540246209
among transgender,2.95798010650595
accept transgender,2.921797770199305
ever transgender,2.9180061910369304
transgender teacher,2.9046430491602386
transgender alliance,2.891275825422408
transgender murder,2.8887689698118315
murdered transgender,2.8843230647806415
being transgender,2.881346900670234
scottish transgender,2.864285311544098
transgender activists,2.851408442307907
transgender bathroom,2.780846944830902
transgender inclusion,2.7404136533819283
miss transgender,2.7185141718105648
attacks transgender,2.7021197335598934
transgender healthcare,2.6982639761443927
ban transgender,2.673635194426744
transgender campaigners,2.654025445358851
bisexual transgender,2.634150809883895
transgender ban,2.630566472534859
2020 transgender,2.6263418866731314
transgender pride,2.6074828594218182
transgender men,2.588045366911036
transgender doctor,2.5847627829217323
towards transgender,2.5370096514733653
transgender boys,2.5143734550303343
2015 transgender,2.483962142134242
stop transgender,2.460641471092547
two transgender,2.4303341178025875
five transgender,2.3753094172927867
for transgender,2.3470773616276013
proud transgender,2.3305214955459483
transgender charity,2.299360564059487
young transgender,2.2580337017705503
transgender experience,2.1436629870566932
four transgender,2.1313050653290695
about transgender,2.0887552303130335
on transgender,2.0215507063814506
a transgender,2.0138228490674486
many transgender,2.013739473158452
play transgender,1.999800282200578
over transgender,1.9799007247628708
as transgender,1.9032054764899335
transgender girls,1.880061037926481
transgender non-binary,1.8696015590738781
transgender protections,1.8568423283585354
transgender film,1.8339913892304978
transgender health,1.8065542065236464
transgender star,1.764583820506548
transgender labour,1.7612279338086942
transgender role,1.7404136533819283
transgender sex,1.6872100518925528
transgender april,1.6648160344877674
transgender policy,1.6564741504008396
including transgender,1.6493030351164428
transgender marriage,1.643030438100915
transgender staff,1.626693463387653
transgender member,1.616672030876476
uk transgender,1.6137418498935006
call transgender,1.6029101296319936
taking transgender,1.5847627829217323
transgender parents,1.563701167393905
transgender prison,1.5316514464621704
of transgender,1.5255908560781961
transgender history,1.518673592463962
help transgender,1.4776329082153197
serving transgender,1.4629938196340753
says transgender,1.3714155011882916
transgender identity,1.3661639347437315
transgender law,1.352386273012666
am transgender,1.2797650839842518
national transgender,1.2757737437418726
transgender lives,1.2595595560015092
transgender young,1.2580337017705503
transgender surgery,1.2474594621474573
transgender former,1.2208271615127941
support transgender,1.2132039203097698
transgender members,1.1899938811488795
new transgender,1.1636689837227934
another transgender,1.1612966615723117
m transgender,1.1321783296807126
all transgender,1.1060550626489807
transgender legal,1.052515098998498
transgender house,1.0498409647001736
around transgender,1.041379385951977
that transgender,0.9881134965804534
transgender support,0.9616651533138061
transgender news,0.9409065931470089
transgender police,0.891275825422408
only transgender,0.8761860153423022
us transgender,0.8662054442359874
every transgender,0.8650317261718818
out transgender,0.8034030693970777
transgender while,0.8001279373642127
other transgender,0.7957726282726973
trump transgender,0.761277593724401
transgender discrimination,0.703750819138822
most transgender,0.6604901090849786
where transgender,0.6170561861286217
s transgender,0.6100139040023898
into transgender,0.6036712454717978
some transgender,0.5653573837491415
transgender female,0.5443485144758249
transgender school,0.47902883966519383
his transgender,0.4405680565728396
its transgender,0.3949382240417165
are transgender,0.35100616961018716
transgender state,0.3330436903157725
or transgender,0.3091555653357325
our transgender,0.30434889468309123
re transgender,0.29768008042056593
group transgender,0.29474393598911774
is transgender,0.1314547302538287
the transgender,0.06281516595150194
more transgender,0.03958377512788047
transgender and,0
by transgender,0
transgender or,0
any transgender,0
with transgender,0
like transgender,0
were transgender,0
be transgender,0
this transgender,0
their transgender,0
up transgender,0
no transgender,0
after transgender,0
from transgender,0
what transgender,0
and transgender,0
was transgender,0
year transgender,0
said transgender,0
transgender –,0
transgender but,0
at transgender,0
her transgender,0
to transgender,0
– transgender,0
transgender is,0
one transgender,0
transgender would,0
transgender in,0
my transgender,0
not transgender,0
transgender from,0
transgender has,0
people transgender,0
transgender was,0
transgender as,0
transgender he,0
transgender she,0
transgender i,0
transgender this,0
in transgender,0
transgender it,0
transgender on,0
transgender a,0
transgender to,0
transgender the,0
