n-gram,PMI
gender nonconforming,7.7264389220797085
gender dysphoria,7.6524589543933565
gender non-conforming,7.5683740758474585
gender marker,7.566884457706969
gender fluidity,7.564865290070319
gender dysphoric,7.562286745968539
gender identity,7.437195885576706
self-declared gender,7.3648406817623275
gender expansive,7.320446562403873
gender neutral,7.259046017739731
gender incongruence,7.194915680320015
gender reassignment,7.105648342222924
gender fluid,6.820520165538518
gender identities,6.7637585156778925
gender confusion,6.670943809488005
chosen gender,6.644526328146281
gender expression,6.607697205658489
gender affirmation,6.32044656240387
gender transitions,6.272918192321285
gender affirming,6.26530500821141
gender theory,6.230716401747859
opposite-sex gender,6.21694198665001
gender binary,6.211594421466643
gender roles,6.155387316133375
gender spectrum,5.961716504026981
gender clinics,5.813045044976366
gender transition,5.741821954779095
gender norms,5.7254303970187905
gender recognition,5.722847236004792
gender confirmation,5.675541521226432
experiencing gender,5.595453609903739
gender confused,5.557485759704722
perceived gender,5.5574857597047185
third gender,5.538870081537372
gender ideology,5.534800905681497
gender identification,5.457950086153804
gender option,5.328182211183478
x gender,5.277377840511985
gender clinic,5.269683448721985
gender diverse,5.230984935027536
gender strategy,5.215093562257643
adolescent gender,5.194915680320012
preferred gender,5.10578978984703
gender stereotypes,5.105278467835337
fluid gender,5.065632663375048
treating gender,5.06105993358522
whose gender,4.857557544863045
gender options,4.8058733895741135
explore gender,4.692415339790831
pediatric gender,4.5018934337414045
undergo gender,4.357346145215402
gender equity,4.32044656240387
created gender,4.260010708541898
gender studies,4.215093562257643
so-called gender,4.202952999385431
pushing gender,4.2020051051063305
seeking gender,4.119148172702047
radical gender,4.0828053139984775
their gender,4.037200025996839
gender diversity,4.019657234574659
gender pronouns,3.850532734604954
orientation gender,3.8440085184608854
binary gender,3.8130450449763664
birth gender,3.7889233206441766
gender non-binary,3.684355569996878
regarding gender,3.6803425074902556
gender assigned,3.6342007258455347
gender critical,3.6272311710306937
`` gender,3.573973882493288
gender category,3.5395638517074595
gender transitioning,3.5256368936653786
include gender,3.4489613029265485
true gender,3.364840681762324
woke gender,3.300097917012071
non-binary gender,3.2920381472181184
experience gender,3.233685250484587
own gender,3.1866480643364135
term gender,3.1624942026276344
different gender,3.161247967554619
changing gender,3.047428067997455
your gender,2.8174924728409465
opposite gender,2.802598257541252
change gender,2.6848193348144456
gender equality,2.6527662631378313
gender without,2.55672824063198
or gender,2.35457924732302
youth gender,2.3073904095784243
about gender,2.238102691778547
of gender,2.1959465449875886
legal gender,2.1892020291256173
called gender,2.120568338859929
with gender,2.077095791141655
female gender,2.07194392635315
gender surgery,2.0656326633750446
gender change,1.9843796166733512
gender claims,1.9639612454801387
new gender,1.8039074182852524
her gender,1.7836400998373705
s gender,1.753887671399287
another gender,1.6319794859288557
gender discrimination,1.4760974328640657
and gender,1.4537251399498814
on gender,1.3192503969751854
biological gender,1.2701031767142297
my gender,1.2414952210090497
for gender,1.178095096325766
gender is,1.151706077119396
his gender,1.0357170854707611
from gender,0.9329413356841592
gender they,0.8956511200252244
many gender,0.8850604177332251
gender policy,0.816018773303572
gender issues,0.7062324727490221
over gender,0.6386225224301256
the gender,0.6150208292999686
child gender,0.6029570693968047
gender has,0.5089340148726116
that gender,0.4765745032931612
into gender,0.45614784351981896
what gender,0.4537483501751929
a gender,0.42950852785070026
gender or,0.4055631760418237
other gender,0.37544618191759227
sex gender,0.3147554503260146
gender because,0.30009791701206723
as gender,0.29440023888072275
gender can,0.16733487140864156
male gender,0.13530082402278865
gender which,0.09711763013490327
gender but,0.03841119464002318
all gender,0.006503451499817459
by gender,0.0015023259553323953
gender and,0
one gender,0
gender as,0
identity gender,0
gender —,0
have gender,0
which gender,0
this gender,0
not gender,0
to gender,0
gender gender,0
gender at,0
gender with,0
gender on,0
gender that,0
if gender,0
gender if,0
gender i,0
gender it,0
gender are,0
gender from,0
gender for,0
in gender,0
gender in,0
gender you,0
transgender gender,0
is gender,0
gender to,0
gender of,0
gender the,0
gender a,0
