n-gram,PMI
biological male who identifies,2.6273052435253277
biological man who identifies,2.4431842378894757
man who identifies as,1.1552128519345146
male who identifies as,0.9487494020160625
person who identifies as,0.24433808758963238
identifies as a woman,0.20233468991495585
but identifies as female,0
identifies as a girl,0
who identifies as female,0
who identifies as a,0
now identifies as a,0
a person who identifies,0
a man who identifies,0
identifies as a male,0
who identifies as transgender,0
identifies as female and,0
